输入数据率rs,信源信息率Rs,信道数据率rc,信道输入信息率Rci,信道输出信息率Rco,信宿关于信源信息率RI,信宿误码率er
1.0000000000,0.4662910363,1.3988731089,0.4662910363,0.6522819916,0.4662910000,0.0000000000
1.0000000000,0.4677658562,0.4677658562,0.4677658562,0.2188048962,0.4677658750,0.0207809620
1.0000000000,0.4626453633,3.0000000000,0.4626453633,1.3862926597,0.4656248750,0.0011840820
1.0000000000,0.4668312992,1.0000000000,0.4668312992,0.4655605060,0.4732731250,0.0217773438
