INPUT1,INPUT2,error_rate
..\data\temp\datfile\non_ideal_both_source.1KB.dat,..\data\temp\datfile\non_ideal_both_output.dat,0.0
..\data\temp\datfile\non_ideal_both_source.1KB.dat,..\data\temp\datfile\non_ideal_both_output.dat,0.0
..\data\temp\datfile\non_ideal_both_source.10KB.dat,..\data\temp\datfile\non_ideal_both_output.dat,0.0
..\data\temp\datfile\non_ideal_both_source.10KB.dat,..\data\temp\datfile\non_ideal_both_output.dat,0.0
..\data\temp\datfile\non_ideal_both_source.100KB.dat,..\data\temp\datfile\non_ideal_both_output.dat,0.0
