INPUT1,INPUT2,error_rate
..\data\temp\datfile\non_ideal_channel_only_source.1KB.dat,..\data\temp\datfile\non_ideal_channel_only_output.dat,0.000732421875
..\data\temp\datfile\non_ideal_channel_only_source.1KB.dat,..\data\temp\datfile\non_ideal_channel_only_output.dat,0.0008544921875
..\data\temp\datfile\non_ideal_channel_only_source.10KB.dat,..\data\temp\datfile\non_ideal_channel_only_output.dat,0.0011474609375
..\data\temp\datfile\non_ideal_channel_only_source.10KB.dat,..\data\temp\datfile\non_ideal_channel_only_output.dat,0.00118408203125
..\data\temp\datfile\non_ideal_channel_only_source.100KB.dat,..\data\temp\datfile\non_ideal_channel_only_output.dat,0.001156005859375
