"..\data\temp\datfile\ideal_output.dat","7.818473","1000"
"..\data\temp\datfile\ideal_output.dat","7.809592","1000"
"..\data\temp\datfile\ideal_output.dat","7.798774","1000"
"..\data\temp\datfile\ideal_output.dat","7.801488","1000"
"..\data\temp\datfile\ideal_output.dat","7.835927","1000"
"..\data\temp\datfile\ideal_output.dat","7.823202","1024"
"..\data\temp\datfile\ideal_output.dat","7.824837","1024"
"..\data\temp\datfile\ideal_output.dat","7.803109","1024"
"..\data\temp\datfile\ideal_output.dat","7.778449","1024"
"..\data\temp\datfile\ideal_output.dat","7.792850","1024"
"..\data\temp\datfile\ideal_output.dat","7.820115","1024"
"..\data\temp\datfile\ideal_output.dat","7.807807","1024"
"..\data\temp\datfile\ideal_output.dat","7.803718","1024"
"..\data\temp\datfile\ideal_output.dat","7.982503","10240"
"..\data\temp\datfile\ideal_output.dat","7.980574","10240"
"..\data\temp\datfile\ideal_output.dat","7.998192","102400"
