Bit 0 Probability,Bit 1 Probability,Entropy,Redundancy
0.101,0.899,0.4611881398,0.5278424727533324
0.095875,0.904125,0.4443643553,0.5442184294134059
0.10125,0.89875,0.4636332715,0.5270544774621625
0.1,0.8999999999999999,0.458482365,0.5310044064107187
0.106375,0.893625,0.476742407,0.5111159068297313
0.10546875,0.89453125,0.473285979,0.5139048048148978
0.1041259765625,0.8958740234375,0.4705849051,0.518060180499145
0.100341796875,0.899658203125,0.4584822321,0.529921871354598
0.109130859375,0.890869140625,0.4885834115,0.5027112111613076
0.0992431640625,0.9007568359375,0.4561076804,0.5334081208871582
